Date and hour EST (UTC = + 5), count, minid, maxid
2016-02-24 23,145,702712237413179393,702719436415967232
2016-02-25 00,31,702719721964224512,702733693924855810
2016-02-25 01,7,702735514818973697,702749727289257984
2016-02-25 02,18,702751322962051072,702762525323096064
2016-02-25 03,5,702772556961619968,702779947186663424
2016-02-25 04,2,702782666429468672,702794315882504192
2016-02-25 05,4,702802247898386432,702805344620183553
2016-02-25 06,11,702810414699126784,702825060860493824
2016-02-25 07,135,702826375741358080,702840348456964097
2016-02-25 08,104,702840472054558721,702855124691988480
2016-02-25 09,72,702855854236811265,702870385549713409
2016-02-25 10,78,702870674151501824,702885427670343681
2016-02-25 11,211,702885858832211968,702900671616516096
2016-02-25 12,154,702900921487896576,702915958973861888
2016-02-25 13,321,702916045854474240,702931041581813760
2016-02-25 14,275,702931106304303104,702946147648733184
2016-02-25 15,350,702946238639935488,702961255812825089
2016-02-25 16,341,702961320996401152,702976353386291202
2016-02-25 17,275,702976516146069504,702991451878268928
2016-02-25 18,403,702991503057027072,703006551661936640
2016-02-25 19,433,703006563955421184,703021653308149760
2016-02-25 20,11145,703021674212397056,703036759106572288
2016-02-25 21,70207,703036760100610048,703051859066556417
2016-02-25 22,42106,703051859989102592,703066958728564736
2016-02-25 23,14569,703066959043235840,703082057942110208
2016-02-26 00,5781,703082062274813952,703097149513289728
2016-02-26 01,2746,703097162393976832,703112250278608896
2016-02-26 02,1453,703112259476664325,703127350288879617
2016-02-26 03,878,703127369993707520,703142436504080384
2016-02-26 04,647,703142464350081025,703157535218348032
2016-02-26 05,596,703157582412689413,703172642770059264
2016-02-26 06,944,703172669252829186,703187750334271488
2016-02-26 07,1813,703187762678206467,703202850562822145
2016-02-26 08,1748,703202870649331712,703217947037204484
2016-02-26 09,1647,703217953915985921,703233050163818496
2016-02-26 10,1538,703233057264791553,703248152170598400
2016-02-26 11,1340,703248160374718464,703263199118946304
2016-02-26 12,1175,703263286549213184,703278323586220033
2016-02-26 13,829,703278369815863297,703293424036761600
2016-02-26 14,632,703293477577068544,703308550647345152
2016-02-26 15,582,703308562936815616,703323632668418052
2016-02-26 16,1180,703323669506846721,703338745320251392
2016-02-26 17,687,703338752966529028,703353791131865088
2016-02-26 18,386,703353880596209664,703368940186181636
2016-02-26 19,310,703368967595945984,703384039512649728
2016-02-26 20,589,703384075411787781,703399126038396928
2016-02-26 21,589,703399190399885312,703414222265253888
2016-02-26 22,438,703414263985999873,703429311487868928
2016-02-26 23,373,703429357029687296,703444444205314048
2016-02-27 00,29,703444590615990272,703445844817743872
